지역,시설,명칭,지정,,,,,
종로구,유치원,누상,'13,,,,,
종로구,유치원,동숭,'11,,,,,
종로구,유치원,명륜,'08,,,,,
종로구,유치원,무궁화,'10,,,,,
종로구,유치원,부암,'09,,,,,
종로구,유치원,상록수,'08,,,,,
종로구,유치원,생명숲,'15,,,,,
종로구,유치원,아동회관,'12,,,,,
종로구,유치원,엔젤키즈,'16,,,,,
종로구,유치원,은행나무,'06,,,,,
종로구,유치원,정부청사,'09,,,,,
종로구,유치원,창이,'13,,,,,
종로구,유치원,청운,'11,,,,,
종로구,유치원,한빛,'12,,,,,
종로구,유치원,사직,'05,,,,,
종로구,유치원,연동,'95,,,,,
종로구,초등학교,서울사대,'95,,,,,
종로구,초등학교,명신(4),'95,,,,,
종로구,초등학교,재동(2),'95,,,,,
종로구,초등학교,창신 ,'95,,,,,
종로구,초등학교,혜화(5),'95,,,,,
종로구,초등학교,상명사대,'95,,,,,
종로구,초등학교,청운,'96,,,,,
종로구,초등학교,교동,'97,,,,,
종로구,초등학교,독립문,'97,,,,,
종로구,초등학교,매동,'97,,,,,
종로구,초등학교,효제,'97,,,,,
종로구,초등학교,운현,'97,,,,,
종로구,초등학교,세검정,'98,,,,,
종로구,특수학교,서울맹(1),'97,,,,,
종로구,특수학교,서울농(1),'97,,,,,
종로구,특수학교,수도사랑의,'06,,,,,
종로구,보육시설,봄샘,'09,,,,,
종로구,보육시설,세검정,'10,,,,,
종로구,보육시설,세종,'09,,,,,
종로구,보육시설,연동,'95,,,,,
종로구,보육시설,옥인,'07,,,,,
종로구,보육시설,청룡,'95,,,,,
종로구,보육시설,하나,'08,,,,,
종로구,보육시설,한아름,'13,,,,,
종로구,보육시설,혜화,'97,,,,,
종로구,보육시설,명신병설,'10,,,,,
종로구,보육시설,상명부속,'10,,,,,
종로구,보육시설,운현,'10,,,,,
종로구,보육시설,재동병설,'10,,,,,
종로구,보육시설,배화여대부,'05,,,,,
종로구,보육시설,창신병설,'95,,,,,
종로구,보육시설,재동병설,'05,,,,,
중구,유치원,일신,'07,,,,,
중구,유치원,가명,'08,,,,,
중구,유치원,근화,'08,,,,,
중구,유치원,수암,'08,,,,,
중구,유치원,신일,'08,,,,,
중구,유치원,약수,'08,,,,,
중구,유치원,한일,'08,,,,,
중구,유치원,덕수병,'10,,,,,
중구,유치원,장충,'10,,,,,
중구,유치원,충무병,'10,,,,,
중구,유치원,리라,`10,,,,,
중구,초등학교,덕수,'95,,,,,
중구,초등학교,남산,'96,,,,,
중구,초등학교,봉래,'96,,,,,
중구,초등학교,충무,'96,,,,,
중구,초등학교,광희,'97,,,,,
중구,초등학교,청구,'97,,,,,
중구,초등학교,홍인,'97,,,,,
중구,초등학교,장충,98,,,,,
중구,초등학교,동산,'98,,,,,
중구,초등학교,리라,'98,,,,,
중구,초등학교,숭의,'98,,,,,
중구,초등학교,신당,'07,,,,,
중구,보육시설,충무,'97,,,,,
중구,보육시설,회현,'06,,,,,
중구,보육시설,서울시직장,'06,,,,,
중구,보육시설,신당1동,'07,,,,,
중구,보육시설,신당3동,'07,,,,,
중구,보육시설,신당4동,'07,,,,,
중구,보육시설,신당5동,'07,,,,,
중구,보육시설,신당6동,'07,,,,,
중구,보육시설,성심,'07,,,,,
중구,보육시설,약수교회,'07,,,,,
중구,보육시설,약수,'07,,,,,
중구,보육시설,한솔,'07,,,,,
중구,보육시설,황학동,'07,,,,,
중구,보육시설,단우물,'16,,,,,
중구,보육시설,필동,'17,,,,,
중구,보육시설,중림,'18,,,,,
용산구,유치원,계성,'97,,,,,
용산구,유치원,도원,'97,,,,,
용산구,유치원,대건,'98,,,,,
용산구,유치원,성심,'98,,,,,
용산구,유치원,일민,'01,,,,,
용산구,유치원,충신,'01,,,,,
용산구,유치원,복자,'04,,,,,
용산구,유치원,강변,'07,,,,,
용산구,유치원,유성,'07,,,,,
용산구,유치원,한가람,'07,,,,,
용산구,유치원,한남병(1),'10,,,,,
용산구,유치원,남정병(2),'10,,,,,
용산구,유치원,서빙고병(3),'10,,,,,
용산구,유치원,원,'10,,,,,
용산구,유치원,청파병설,'10,,,,,
용산구,초등학교,금양,'95,,,,,
용산구,초등학교,서빙고(3),'95,,,,,
용산구,초등학교,원효,'95,,,,,
용산구,초등학교,남정(2),'96,,,,,
용산구,초등학교,이태원,'96,,,,,
용산구,초등학교,용산,'97,,,,,
용산구,초등학교,청파,'97,,,,,
용산구,초등학교,한남(1),'97,,,,,
용산구,초등학교,보광,'98,,,,,
용산구,초등학교,삼광,'98,,,,,
용산구,초등학교,신용산,'98,,,,,
용산구,초등학교,용암,'98,,,,,
용산구,초등학교,한강,'98,,,,,
용산구,초등학교,후암,'98,,,,,
용산구,초등학교,신광,'98,,,,,
용산구,보육시설,보광,'06,,,,,
용산구,보육시설,동빙고,'06,,,,,
용산구,보육시설,이촌,'06,,,,,
용산구,보육시설,충신교회,'06,,,,,
용산구,보육시설,이태원삼성,'11,,,,,
용산구,보육시설,한남,'13,,,,,
용산구,보육시설,구립맑은숲,'18,,,,,
성동구,유치원,무학,'97,,,,,
성동구,유치원,세인,'98,,,,,
성동구,유치원,성심,'06,,,,,
성동구,유치원,율화,'06,,,,,
성동구,유치원,경동(성수),'08,,,,,
성동구,유치원,솔,'09,,,,,
성동구,유치원,경동(벽산),'09,,,,,
성동구,유치원,송곡,'09,,,,,
성동구,유치원,세성,'09,,,,,
성동구,유치원,금호,'09,,,,,
성동구,유치원,아이들세상,'10,,,,,
성동구,유치원,한양여대부속,'10,,,,,
성동구,유치원,경수병(1),'10,,,,,
성동구,유치원,마장병(2),'10,,,,,
성동구,유치원,사근병(3),'10,,,,,
성동구,유치원,옥수병(4),'10,,,,,
성동구,유치원,옥정병(5),'10,,,,,
성동구,유치원,송원병(6),'10,,,,,
성동구,유치원,응봉이화,`10,,,,,
성동구,유치원,옥수삼성,`10,,,,,
성동구,유치원,로사,`10,,,,,
성동구,초등학교,경동,'95,,,,,
성동구,초등학교,경수(1),'95,,,,,
성동구,초등학교,경일,'95,,,,,
성동구,초등학교,동명,'95,,,,,
성동구,초등학교,사근(3),'95,,,,,
성동구,초등학교,금북,'96,,,,,
성동구,초등학교,성수,'96,,,,,
성동구,초등학교,옥정(5),'96,,,,,
성동구,초등학교,행당,'96,,,,,
성동구,초등학교,금옥,'97,,,,,
성동구,초등학교,금호,'97,,,,,
성동구,초등학교,마장(2),'97,,,,,
성동구,초등학교,무학,'97,,,,,
성동구,초등학교,옥수(4),'97,,,,,
성동구,초등학교,용답,'98,,,,,
성동구,초등학교,응봉,'02,,,,,
성동구,초등학교,행현,'05,,,,,
성동구,초등학교,송원,'09,,,,,
성동구,초등학교,동호,'10,,,,,
성동구,초등학교,숭신,'16,,,,,
성동구,보육시설,마장,'97,,,,,
성동구,보육시설,행응,'06,,,,,
성동구,보육시설,연꽃,'06,,,,,
성동구,보육시설,신영창의,'06,,,,,
성동구,보육시설,구립금일,'11,,,,,
성동구,보육시설,구립성모,'11,,,,,
성동구,보육시설,구립용답,'11,,,,,
성동구,보육시설,꿈터,'11,,,,,
성동구,보육시설,구립홍익,'11,,,,,
성동구,보육시설,신금호자이,'17,,,,,
성동구,보육시설,왕도,'17,,,,,
광진구,유치원,선경,'97,,,,,
광진구,유치원,광남,'97,,,,,
광진구,유치원,현정,'97,,,,,
광진구,유치원,우성,'98,,,,,
광진구,유치원,성산,'98,,,,,
광진구,유치원,성수아름,'98,,,,,
광진구,유치원,슬기,'98,,,,,
광진구,유치원,정신,'06,,,,,
광진구,유치원,선양,'06,,,,,
광진구,유치원,경하,'06,,,,,
광진구,유치원,동서울,'06,,,,,
광진구,유치원,미파,'06,,,,,
광진구,유치원,선미,'06,,,,,
광진구,유치원,예일,'06,,,,,
광진구,유치원,자양하나,'07,,,,,
광진구,유치원,인애,'08,,,,,
광진구,유치원,프라임,'08,,,,,
광진구,유치원,보성,‘09,,,,,
광진구,유치원,한일,'09,,,,,
광진구,유치원,윤진,'09,,,,,
광진구,유치원,어린이회관,'09,,,,,
광진구,유치원,광장,'09,,,,,
광진구,유치원,샬롬,'09,,,,,
광진구,유치원,자양(3),'10,,,,,
광진구,유치원,아이조아(4),'10,,,,,
광진구,유치원,구의병(5),'10,,,,,
광진구,유치원,신자병(6),'10,,,,,
광진구,유치원,양남병(7),'10,,,,,
광진구,유치원,양진병(8),'10,,,,,
광진구,유치원,자양병(9),'10,,,,,
광진구,유치원,경원,`10,,,,,
광진구,유치원,동심,`10,,,,,
광진구,유치원,선화,`10,,,,,
광진구,유치원,영화,`10,,,,,
광진구,유치원,청구이화,`10,,,,,
광진구,초등학교,광장,'95,,,,,
광진구,초등학교,구남,'95,,,,,
광진구,초등학교,구의(5),'95,,,,,
광진구,초등학교,동의,'95,,,,,
광진구,초등학교,동자,'95,,,,,
광진구,초등학교,신자(6),'95,,,,,
광진구,초등학교,자양(9),'95,,,,,
광진구,초등학교,장안,'95,,,,,
광진구,초등학교,양남(7),'96,,,,,
광진구,초등학교,용마,'96,,,,,
광진구,초등학교,성동(1),'96,,,,,
광진구,초등학교,광남(2),'98,,,,,
광진구,초등학교,성자(3),'98,,,,,
광진구,초등학교,신양,'98,,,,,
광진구,초등학교,용곡,'98,,,,,
광진구,초등학교,중광,'98,,,,,
광진구,초등학교,중마(4),'98,,,,,
광진구,초등학교,화양,'98,,,,,
광진구,초등학교,경복,'98,,,,,
광진구,초등학교,세종,'98,,,,,
광진구,초등학교,광진,'03,,,,,
광진구,초등학교,양진(8),'05,,,,,
광진구,보육시설,사랑의,'07,,,,,
광진구,보육시설,신나는,'07,,,,,
광진구,보육시설,좋은,'07,,,,,
광진구,보육시설,능동,'07,,,,,
광진구,보육시설,으뜸,'07,,,,,
광진구,보육시설,중곡샛별,'07,,,,,
광진구,보육시설,예아랑,'07,,,,,
광진구,보육시설,미예뜰,'07,,,,,
광진구,보육시설,하은,'07,,,,,
광진구,보육시설,자양,'07,,,,,
광진구,보육시설,아이세계,'08,,,,,
광진구,보육시설,구의2동,'09,,,,,
광진구,보육시설,선린,'10,,,,,
광진구,보육시설,구의3동,'10,,,,,
광진구,보육시설,성심,'10,,,,,
광진구,보육시설,상명,'11,,,,,
광진구,보육시설,수정,'12,,,,,
광진구,보육시설,예지,'12,,,,,
광진구,보육시설,명성,'13,,,,,
광진구,보육시설,우리티움아이,'15,,,,,
광진구,보육시설,꿈동산몬테소리,'15,,,,,
광진구,보육시설,자양도담,'18,,,,,
동대문구,유치원,백주,'98,,,,,
동대문구,유치원,빛나,'98,,,,,
동대문구,유치원,아이비,'02,,,,,
동대문구,유치원,세하,'04,,,,,
동대문구,유치원,서울,'06,,,,,
동대문구,유치원,소화,'06,,,,,
동대문구,유치원,예일,'06,,,,,
동대문구,유치원,젬마,'06,,,,,
동대문구,유치원,동안,'09,,,,,
동대문구,유치원,휘경단(2),'10,,,,,
동대문구,유치원,군자병(3),'10,,,,,
동대문구,유치원,이문병(4),'10,,,,,
동대문구,유치원,장평병(5),'10,,,,,
동대문구,유치원,전동병(6),'10,,,,,
동대문구,유치원,홍파병(7),'10,,,,,
동대문구,유치원,휘봉병(8),'10,,,,,
동대문구,유치원,답십리병(9),'10,,,,,
동대문구,유치원,그림,'11,,,,,
동대문구,유치원,새소리,'16,,,,,
동대문구,초등학교,군자(3),'95,,,,,
동대문구,초등학교,답십리(9),'95,,,,,
동대문구,초등학교,동답,'95,,,,,
동대문구,초등학교,신답,'95,,,,,
동대문구,초등학교,안평,'95,,,,,
동대문구,초등학교,장평(5),'95,,,,,
동대문구,초등학교,종암,'95,,,,,
동대문구,초등학교,청량,'95,,,,,
동대문구,초등학교,홍릉(1),'95,,,,,
동대문구,초등학교,배봉,'96,,,,,
동대문구,초등학교,전곡,'96,,,,,
동대문구,초등학교,전농,'96,,,,,
동대문구,초등학교,전동(6),'96,,,,,
동대문구,초등학교,이문(4),'97,,,,,
동대문구,초등학교,휘경(2),'97,,,,,
동대문구,초등학교,삼육(1),'97,,,,,
동대문구,초등학교,은석,'97,,,,,
동대문구,초등학교,용두,'98,,,,,
동대문구,초등학교,홍파(7),'98,,,,,
동대문구,초등학교,경희,'98,,,,,
동대문구,초등학교,휘봉(8),’06,,,,,
동대문구,보육시설,태양,'09,,,,,
동대문구,보육시설,동대문,'09,,,,,
동대문구,보육시설,메꽃,'09,,,,,
동대문구,보육시설,장안,'09,,,,,
동대문구,보육시설,푸른하늘,'09,,,,,
동대문구,보육시설,해오름,'09,,,,,
동대문구,보육시설,휘경,'09,,,,,
동대문구,보육시설,성은,'09,,,,,
동대문구,보육시설,한일,'09,,,,,
동대문구,보육시설,나사렛,'09,,,,,
동대문구,보육시설,조은,'09,,,,,
동대문구,보육시설,꿈마루,'09,,,,,
동대문구,보육시설,배봉,'09,,,,,
동대문구,보육시설,햇살,'11,,,,,
동대문구,보육시설,별밭,'11,,,,,
동대문구,보육시설,이화,'11,,,,,
동대문구,보육시설,중앙삐아제,'12,,,,,
동대문구,보육시설,영유아프라,'12,,,,,
동대문구,보육시설,회기,'13,,,,,
동대문구,보육시설,예다미,'15,,,,,
동대문구,보육시설,사군자,'15,,,,,
동대문구,보육시설,예나,'15,,,,,
동대문구,보육시설,산내들,'15,,,,,
동대문구,보육시설,삼성,'16,,,,,
동대문구,보육시설,더불어숲,'16,,,,,
동대문구,보육시설,오르다,'16,,,,,
동대문구,보육시설,우아세,'16,,,,,
동대문구,보육시설,새서울,'18,,,,,
동대문구,보육시설,구청(직장),'18,,,,,
동대문구,보육시설,청정원,'19,,,,,
동대문구,보육시설,솔향기,'19,,,,,
동대문구,보육시설,연세,'19,,,,,
동대문구,보육시설,새하늘,'19,,,,,
중랑구,유치원,예원,'97,,,,,
중랑구,유치원,동국,'98,,,,,
중랑구,유치원,색동,'98,,,,,
중랑구,유치원,아랑,'98,,,,,
중랑구,유치원,나래,'06,,,,,
중랑구,유치원,동일,'06,,,,,
중랑구,유치원,수산,'09,,,,,
중랑구,유치원,미림,'09,,,,,
중랑구,유치원,동원병(1),'10,,,,,
중랑구,유치원,묵현병(2),'10,,,,,
중랑구,유치원,중곡병(3),'10,,,,,
중랑구,유치원,서안,'10,,,,,
중랑구,유치원,봄내,'13,,,,,
중랑구,유치원,이루니,'15,,,,,
중랑구,유치원,정암,'17,,,,,
중랑구,초등학교,망우,'95,,,,,
중랑구,초등학교,면남,'95,,,,,
중랑구,초등학교,면동,'95,,,,,
중랑구,초등학교,면북,'95,,,,,
중랑구,초등학교,면중,'95,,,,,
중랑구,초등학교,신내,'95,,,,,
중랑구,초등학교,중곡(3),'95,,,,,
중랑구,초등학교,중랑,'95,,,,,
중랑구,초등학교,중화,'95,,,,,
중랑구,초등학교,면일,'96,,,,,
중랑구,초등학교,묵동,'96,,,,,
중랑구,초등학교,상봉,'96,,,,,
중랑구,초등학교,신묵,'96,,,,,
중랑구,초등학교,동원(1),'97,,,,,
중랑구,초등학교,면목,'97,,,,,
중랑구,초등학교,봉화,'97,,,,,
중랑구,초등학교,신현,'97,,,,,
중랑구,초등학교,원묵,'97,,,,,
중랑구,초등학교,금성,'97,,,,,
중랑구,초등학교,중목,'98,,,,,
중랑구,초등학교,중흥,'00,,,,,
중랑구,초등학교,묵현(2),'04,,,,,
중랑구,초등학교,서울새솔(원인자),'13,,,,,
중랑구,보육시설,한내들 ,'97,,,,,
중랑구,보육시설,삼성,'06,,,,,
중랑구,보육시설,상봉1동,'06,,,,,
중랑구,보육시설,이화,'06,,,,,
중랑구,보육시설,나래,'10,,,,,
중랑구,보육시설,세화,'10,,,,,
성북구,유치원,덕수,'98,,,,,
성북구,유치원,성신,'10,,,,,
성북구,유치원,반디,'98,,,,,
성북구,유치원,세아,'98,,,,,
성북구,유치원,은영,'04,,,,,
성북구,유치원,희망찬,'00,,,,,
성북구,유치원,베네딕도,'08,,,,,
성북구,유치원,새싹,'07,,,,,
성북구,유치원,영암,'08,,,,,
성북구,유치원,푸른샘,'08,,,,,
성북구,유치원,한가람,'08,,,,,
성북구,유치원,개동,'10,,,,,
성북구,유치원,나래,'10,,,,,
성북구,유치원,동선,'08,,,,,
성북구,유치원,새삼선,'08,,,,,
성북구,유치원,선한,'98,,,,,
성북구,유치원,신암,'08,,,,,
성북구,유치원,천사,'08,,,,,
성북구,유치원,해뜨는,'10,,,,,
성북구,유치원,길음단설,'10,,,,,
성북구,유치원,길원병설,'10,,,,,
성북구,유치원,돈암병설,'10,,,,,
성북구,유치원,동신병설,'10,,,,,
성북구,유치원,삼선병설,'10,,,,,
성북구,유치원,성북병설,'10,,,,,
성북구,유치원,정덕병설,'10,,,,,
성북구,유치원,청덕병설,'10,,,,,
성북구,유치원,우촌,'10,,,,,
성북구,유치원,동덕,'97,,,,,
성북구,유치원,사랑,'97,,,,,
성북구,유치원,탑주,'00,,,,,
성북구,유치원,한마음,'97,,,,,
성북구,유치원,광운,'10,,,,,
